data;
set NODES := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 ;
param v0 := 1;
param COST_LIMIT := 270;
param score := 1 0
2 5
3 6
4 9
5 9
6 11
7 14
8 16
9 16
10 18
11 20
12 22
13 24
14 26
15 24
16 25
;
param d : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 :=
1 0 20 24 33 33 43 56 63 61 71 79 86 94 102 93 100
2 20 0 18 34 43 50 66 72 68 79 86 93 100 108 97 101
3 24 18 0 16 28 34 50 55 50 62 68 75 82 90 79 83
4 33 34 16 0 16 19 34 40 34 46 52 59 66 74 63 68
5 33 43 28 16 0 10 23 30 28 38 46 53 61 69 60 69
6 43 50 34 19 10 0 16 22 18 29 36 44 51 59 50 59
7 56 66 50 34 23 16 0 8 11 16 24 32 40 48 41 54
8 63 72 55 40 30 22 8 0 8 8 16 24 32 40 33 47
9 61 68 50 34 28 18 11 8 0 11 18 25 33 41 32 43
10 71 79 62 46 38 29 16 8 11 0 8 16 24 32 25 40
11 79 86 68 52 46 36 24 16 18 8 0 8 16 24 18 34
12 86 93 75 59 53 44 32 24 25 16 8 0 8 16 11 29
13 94 100 82 66 61 51 40 32 33 24 16 8 0 8 8 25
14 102 108 90 74 69 59 48 40 41 32 24 16 8 0 11 24
15 93 97 79 63 60 50 41 33 32 25 18 11 8 11 0 18
16 100 101 83 68 69 59 54 47 43 40 34 29 25 24 18 0
;end;
